sep=;
time;model_id;model_name;port_name;data
0;1;(7,9);;<0>
0;2;(6,9);;<0>
0;3;(6,8);;<0>
0;4;(6,6);;<0>
0;5;(7,5);;<0>
0;6;(6,3);;<0>
0;7;(6,2);;<0>
0;8;(7,1);;<0>
0;9;(6,1);;<0>
0;10;(8,0);;<0>
0;11;(7,0);;<0>
0;12;(5,0);;<0>
0;13;(4,0);;<0>
0;14;(3,0);;<0>
0;15;(7,8);;<1>
0;16;(5,8);;<1>
0;17;(5,6);;<1>
0;18;(5,5);;<1>
0;19;(7,4);;<1>
0;20;(5,4);;<1>
0;21;(5,3);;<1>
0;22;(4,9);;<1>
0;23;(4,8);;<1>
0;24;(7,3);;<0>
0;25;(5,9);;<1>
0;26;(1,1);;<1>
0;27;(0,8);;<1>
0;28;(0,3);;<1>
0;29;(4,2);;<1>
0;30;(6,7);;<0>
0;31;(9,9);;<-1>
0;32;(0,0);;<0>
0;33;(1,2);;<1>
0;34;(1,9);;<1>
0;35;(9,7);;<-1>
0;36;(6,0);;<0>
0;37;(9,8);;<-1>
0;38;(8,5);;<-1>
0;39;(9,6);;<-1>
0;40;(7,7);;<0>
0;41;(0,6);;<1>
0;42;(4,6);;<1>
0;43;(2,2);;<1>
0;44;(3,7);;<1>
0;45;(8,8);;<-1>
0;46;(6,5);;<0>
0;47;(1,5);;<1>
0;48;(8,7);;<-1>
0;49;(0,7);;<1>
0;50;(8,6);;<-1>
0;51;(8,2);;<-1>
0;52;(8,3);;<-1>
0;53;(0,9);;<1>
0;54;(5,7);;<1>
0;55;(0,1);;<1>
0;56;(1,4);;<1>
0;57;(4,3);;<1>
0;58;(0,4);;<1>
0;59;(2,7);;<1>
0;60;(9,3);;<-1>
0;61;(1,3);;<1>
0;62;(1,0);;<0>
0;63;(7,6);;<1>
0;64;(9,4);;<-1>
0;65;(6,4);;<0>
0;66;(9,0);;<0>
0;67;(8,4);;<-1>
0;68;(1,6);;<1>
0;69;(3,1);;<1>
0;70;(2,4);;<1>
0;71;(0,2);;<1>
0;72;(9,2);;<-1>
0;73;(4,1);;<1>
0;74;(1,7);;<1>
0;75;(1,8);;<1>
0;76;(8,9);;<-1>
0;77;(2,1);;<1>
0;78;(2,8);;<1>
0;79;(3,3);;<1>
0;80;(3,8);;<1>
0;81;(2,3);;<1>
0;82;(5,1);;<1>
0;83;(8,1);;<-1>
