sep=;
time;model_id;model_name;port_name;data
0;1;(8,0);;<0>
0;2;(7,0);;<0>
0;3;(5,0);;<0>
0;4;(4,0);;<0>
0;5;(3,0);;<0>
0;6;(5,5);;<1>
0;7;(6,0);;<0>
0;8;(9,8);;<-1>
0;9;(9,7);;<-1>
0;10;(9,6);;<-1>
0;11;(9,3);;<-1>
0;12;(8,8);;<-1>
0;13;(8,7);;<-1>
0;14;(8,5);;<-1>
0;15;(8,6);;<-1>
0;16;(8,2);;<-1>
0;17;(7,9);;<-1>
0;18;(7,8);;<-1>
0;19;(1,0);;<0>
0;20;(9,4);;<-1>
0;21;(7,6);;<-1>
0;22;(7,5);;<-1>
0;23;(7,1);;<-1>
0;24;(6,9);;<-1>
0;25;(6,8);;<-1>
0;26;(9,9);;<-1>
0;27;(6,7);;<-1>
0;28;(9,5);;<-1>
0;29;(9,1);;<-1>
0;30;(2,9);;<-1>
0;31;(2,6);;<-1>
0;32;(3,1);;<-1>
0;33;(2,4);;<-1>
0;34;(3,7);;<-1>
0;35;(2,7);;<-1>
0;36;(1,8);;<-1>
0;37;(6,2);;<-1>
0;38;(1,9);;<-1>
0;39;(0,0);;<0>
0;40;(1,2);;<-1>
0;41;(8,3);;<-1>
0;42;(0,9);;<-1>
0;43;(1,4);;<-1>
0;44;(0,3);;<-1>
0;45;(0,8);;<-1>
0;46;(4,2);;<-1>
0;47;(4,8);;<-1>
0;48;(1,7);;<-1>
0;49;(0,7);;<-1>
0;50;(7,7);;<-1>
0;51;(0,6);;<-1>
0;52;(6,1);;<-1>
0;53;(1,3);;<-1>
0;54;(5,6);;<-1>
0;55;(1,5);;<-1>
0;56;(6,5);;<-1>
0;57;(8,1);;<-1>
0;58;(5,1);;<-1>
0;59;(2,5);;<-1>
0;60;(9,2);;<-1>
0;61;(4,1);;<-1>
0;62;(0,2);;<-1>
0;63;(8,9);;<-1>
0;64;(2,1);;<-1>
0;65;(2,8);;<-1>
0;66;(3,3);;<-1>
0;67;(2,2);;<-1>
0;68;(4,6);;<-1>
0;69;(3,5);;<-1>
0;70;(3,2);;<-1>
0;71;(2,0);;<0>
0;72;(7,2);;<-1>
0;73;(3,6);;<-1>
0;74;(0,5);;<-1>
0;75;(3,4);;<-1>
0;76;(4,7);;<-1>
0;77;(2,3);;<-1>
0;78;(3,8);;<-1>
0;79;(0,4);;<-1>
0;80;(4,3);;<-1>
0;81;(4,4);;<-1>
0;82;(4,5);;<-1>
0;83;(4,9);;<-1>
0;84;(3,9);;<-1>
0;85;(5,2);;<-1>
0;86;(5,3);;<-1>
0;87;(7,4);;<-1>
0;88;(5,4);;<-1>
0;89;(0,1);;<-1>
0;90;(5,7);;<-1>
0;91;(5,8);;<-1>
0;92;(7,3);;<-1>
0;93;(1,1);;<-1>
0;94;(5,9);;<-1>
0;95;(6,3);;<-1>
0;96;(9,0);;<0>
0;97;(8,4);;<-1>
0;98;(1,6);;<-1>
0;99;(6,4);;<-1>
0;100;(6,6);;<-1>
0;1;(8,0);outputNeighborhood;<0>
0;1;(8,0);;<0>
0;2;(7,0);outputNeighborhood;<0>
0;2;(7,0);;<0>
0;3;(5,0);outputNeighborhood;<0>
0;3;(5,0);;<0>
0;4;(4,0);outputNeighborhood;<0>
0;4;(4,0);;<0>
0;5;(3,0);outputNeighborhood;<0>
0;5;(3,0);;<0>
0;6;(5,5);outputNeighborhood;<1>
0;6;(5,5);;<0>
0;7;(6,0);outputNeighborhood;<0>
0;7;(6,0);;<1>
0;8;(9,8);outputNeighborhood;<-1>
0;8;(9,8);;<-1>
0;9;(9,7);outputNeighborhood;<-1>
0;9;(9,7);;<-1>
0;10;(9,6);outputNeighborhood;<-1>
0;10;(9,6);;<-1>
0;11;(9,3);outputNeighborhood;<-1>
0;11;(9,3);;<-1>
0;12;(8,8);outputNeighborhood;<-1>
0;12;(8,8);;<-1>
0;13;(8,7);outputNeighborhood;<-1>
0;13;(8,7);;<-1>
0;14;(8,5);outputNeighborhood;<-1>
0;14;(8,5);;<-1>
0;15;(8,6);outputNeighborhood;<-1>
0;15;(8,6);;<-1>
0;16;(8,2);outputNeighborhood;<-1>
0;16;(8,2);;<-1>
0;17;(7,9);outputNeighborhood;<-1>
0;17;(7,9);;<-1>
0;18;(7,8);outputNeighborhood;<-1>
0;18;(7,8);;<-1>
0;19;(1,0);outputNeighborhood;<0>
0;19;(1,0);;<0>
0;20;(9,4);outputNeighborhood;<-1>
0;20;(9,4);;<-1>
0;21;(7,6);outputNeighborhood;<-1>
0;21;(7,6);;<-1>
0;22;(7,5);outputNeighborhood;<-1>
0;22;(7,5);;<-1>
0;23;(7,1);outputNeighborhood;<-1>
0;23;(7,1);;<-1>
0;24;(6,9);outputNeighborhood;<-1>
0;24;(6,9);;<-1>
0;25;(6,8);outputNeighborhood;<-1>
0;25;(6,8);;<-1>
0;26;(9,9);outputNeighborhood;<-1>
0;26;(9,9);;<-1>
0;27;(6,7);outputNeighborhood;<-1>
0;27;(6,7);;<-1>
0;28;(9,5);outputNeighborhood;<-1>
0;28;(9,5);;<-1>
0;29;(9,1);outputNeighborhood;<-1>
0;29;(9,1);;<-1>
0;30;(2,9);outputNeighborhood;<-1>
0;30;(2,9);;<-1>
0;31;(2,6);outputNeighborhood;<-1>
0;31;(2,6);;<-1>
0;32;(3,1);outputNeighborhood;<-1>
0;32;(3,1);;<-1>
0;33;(2,4);outputNeighborhood;<-1>
0;33;(2,4);;<-1>
0;34;(3,7);outputNeighborhood;<-1>
0;34;(3,7);;<-1>
0;35;(2,7);outputNeighborhood;<-1>
0;35;(2,7);;<-1>
0;36;(1,8);outputNeighborhood;<-1>
0;36;(1,8);;<-1>
0;37;(6,2);outputNeighborhood;<-1>
0;37;(6,2);;<-1>
0;38;(1,9);outputNeighborhood;<-1>
0;38;(1,9);;<-1>
0;39;(0,0);outputNeighborhood;<0>
0;39;(0,0);;<0>
0;40;(1,2);outputNeighborhood;<-1>
0;40;(1,2);;<-1>
0;41;(8,3);outputNeighborhood;<-1>
0;41;(8,3);;<-1>
0;42;(0,9);outputNeighborhood;<-1>
0;42;(0,9);;<-1>
0;43;(1,4);outputNeighborhood;<-1>
0;43;(1,4);;<-1>
0;44;(0,3);outputNeighborhood;<-1>
0;44;(0,3);;<-1>
0;45;(0,8);outputNeighborhood;<-1>
0;45;(0,8);;<-1>
0;46;(4,2);outputNeighborhood;<-1>
0;46;(4,2);;<-1>
0;47;(4,8);outputNeighborhood;<-1>
0;47;(4,8);;<-1>
0;48;(1,7);outputNeighborhood;<-1>
0;48;(1,7);;<-1>
