sep=;
time;model_id;model_name;port_name;data
0;1;(7,9);;<0>
0;2;(6,9);;<0>
0;3;(4,9);;<0>
0;4;(1,9);;<0>
0;5;(8,8);;<0>
0;6;(7,8);;<0>
0;7;(6,8);;<0>
0;8;(5,8);;<0>
0;9;(4,8);;<0>
0;10;(1,8);;<0>
0;11;(0,8);;<0>
0;12;(9,7);;<0>
0;13;(8,7);;<0>
0;14;(9,9);;<0>
0;15;(6,7);;<0>
0;16;(3,7);;<0>
0;17;(2,7);;<0>
0;18;(1,7);;<0>
0;19;(0,7);;<0>
0;20;(9,6);;<0>
0;21;(6,6);;<0>
0;22;(5,6);;<0>
0;23;(2,6);;<0>
0;24;(7,7);;<0>
0;25;(0,6);;<0>
0;26;(6,1);;<0>
0;27;(8,5);;<0>
0;28;(8,0);;<0>
0;29;(7,0);;<0>
0;30;(5,7);;<0>
0;31;(0,1);;<0>
0;32;(1,4);;<-1>
0;33;(9,8);;<0>
0;34;(6,0);;<0>
0;35;(0,9);;<0>
0;36;(8,3);;<0>
0;37;(3,0);;<0>
0;38;(6,2);;<0>
0;39;(3,1);;<1>
0;40;(2,4);;<-1>
0;41;(5,0);;<0>
0;42;(2,8);;<0>
0;43;(3,3);;<1>
0;44;(8,9);;<0>
0;45;(2,1);;<1>
0;46;(4,0);;<0>
0;47;(4,7);;<0>
0;48;(0,5);;<0>
0;49;(3,4);;<-1>
0;50;(2,9);;<0>
0;51;(9,5);;<0>
0;52;(9,1);;<0>
0;53;(7,5);;<0>
0;54;(1,3);;<1>
0;55;(9,3);;<0>
0;56;(1,5);;<-1>
0;57;(6,5);;<0>
0;58;(4,6);;<0>
0;59;(2,2);;<1>
0;60;(5,1);;<0>
0;61;(2,5);;<-1>
0;62;(8,1);;<0>
0;63;(0,0);;<0>
0;64;(1,2);;<1>
0;65;(3,8);;<0>
0;66;(2,3);;<1>
0;67;(3,5);;<1>
0;68;(3,2);;<1>
0;69;(7,1);;<0>
0;70;(5,9);;<0>
0;71;(1,1);;<1>
0;72;(7,3);;<0>
0;73;(4,2);;<0>
0;74;(0,3);;<0>
0;75;(3,9);;<0>
0;76;(5,2);;<0>
0;77;(3,6);;<0>
0;78;(2,0);;<0>
0;79;(7,2);;<0>
0;80;(8,6);;<0>
0;81;(8,2);;<0>
0;82;(4,1);;<0>
0;83;(0,2);;<0>
0;84;(9,2);;<0>
